login,username
"@PatrioteEngager","Patriote Reconquete Sécurité"
"@cloprats66","mercenarius"
"@ReacherVic86159","Victor Reacher"
"@ruimatias91","rui Matias"
"@Muneguuuuu","Romain Celis"
"@Laurent_Ryder","Laurent_ Ryder"
"@Fran97013Leb","François"
"@Stef_the_Lamb","OLD PADA"
"@MontreTaCroix","Charles de France"
"@PLio314940","P Lio  SOUTIEN À C-NEWS"
"@melnanou59","Melanie"
"@josephineDB666","josephine de beauharnais"
"@VStauner","Valérie STAUNER"
"@Kevin_Poncin74","Kévin Poncin"
"@DabateIolanda","Iolanda Dabate"
"@avastuschimius1","Vino59"
"@JLVR62410886","JLV 777    FREXIT"
"@whatever76100","NoName"
"@coquiatville","Coquiatville"
"@JMMartini20","Jean.artin ARTINI"
"@Tom_Honk_XVII","Tom Honk ✟"
"@cmdr_rtcnmp","cmdr rtcnmp"
"@Boquillon_R","Romain Boquillon"
"@tam_georges","George Tam_achino  #UltraMAGA #TRUMP"
"@ValrieAb211958","Valérie"
"@LouisGo29232266","Louis Gordon"
"@youmi1616","Youmi1616  #JamaisSansZemmour"
"@BCGa17","B 17 fichée Z"
"@Richteremm68824","Richter Emmanuel"
"@Y_othismos","Yoan ن"
"@jhirel","Judikael Hirel"
"@ha23771","Fred 74"
"@Joseph_Dastros","Joseph Dastros"
"@Sebybelle","Sebybayle"
"@ResiIsrael","resilience israel"
"@FilleGaia","Catherine païenne France"
"@MazehMahdifr","Mazeh Mahdi"
"@StephBesancon83","SB#JamaisSansZemmour"
"@HMoqueur","Harry"
"@NathalieE0810","Nathalie"
"@Raylegouch68","Ray"
"@emmanuelgi99318","emmanuel girard"
"@frederic_bleuse","Lankou BZH"
"@Xtremisme","Xtremisme"
"@RetourMarkus","Le retour de markus"
"@DominiqueCroch2","Dominique"
"@PATRICE43183945","patrice"
"@madeinchaves","# MADE IN CHAVES"
"@OliveTinker","Olive Tinker"
"@Andimyl_Sophie","Andimyl-Sophie"
"@alain_bonenfant","Alain Bonenfant"
"@tiennetienne2","Étienne Étienne"
"@CoCoignard","Pierre COIGNARD - AINSI VENDAIT ZARATHOUSTRA"
"@papylolo12","papylolo"
"@souverainlf","François Leblanc"
"@UltraMagaZfr","Ultra Maga Z"
"@Pistache_78","FireBirds"
"@Yatilunroien","Y a-t-il un Roi en France?"
"@GuyenJustine2","l'amoureux#jamaissansZemmour"
"@Paul00000002","Paul"
"@NaomyJoly","Noémie"
"@LBleuBlancRouge","Bleu Blanc Rouge !"
"@sistadunet","Sista Léa ن"
"@Nicolas31140622","Nicolas"
"@Elle6483","Lilly Alisu D'Anoki"
"@DurandSbastie11","Sébastien Durand"
"@Poutou149830331","Sylvia"
"@loris8383","83"
"@JavertVictor","JAVERT Victor ⓩ"
"@MarieAgnes2a","MARIE-AGNES"
"@NadouRonRon","Nadine s'en-va-t-en guerre."
"@EstFabienne","Fabienne C'est moi"
"@Krishnoo97450","Christel Chatillon"
"@Chadou__","Chadou"
"@jagger_jojo","Jojo JaggeR!"
"@boblib312","Bob Lib"
"@Lisabethdanj","Elisabeth R! /2022-2027/Remigration Totale"
"@Kevin1170356","moijesuiskevin"
"@Legarju","Mimi 40  R"
"@UdrNouvAqui","UDR NOUVELLE AQUITAINE"
"@Neojack2159R","Neojack2159"
"@admilister","admilister"
"@Elyefleur","sellena"
"@Lafranquizanzib","Lafranquizanzibar"
"@les_nenuphares","le bienvellant no vac"
"@Ricoud2000","Ricoud Z0ZZ #jesoutienslapolice"
"@jeanlucJeanLuc8","jean luc Jean Luc"
"@JeanClaude75544","Jean-Claude Le Breton"
"@AlexandreZyzeck","Alexandre Zyzeck"
"@Andimyl","𝓐𝓷𝓭𝓲𝓶𝔂𝓵-𝓢𝓸𝓹𝓱𝓲𝓮"
"@GiliZone","Zarathustra☧🕆🕆"
"@Para_Bellum666","OldMonkey"
"@Z0Z7fr","Z0Z7"
"@Analyserlinfofr","Analyse l'information"
"@RHBOMB","Mr T."
"@Agathe1602","Agathe"
"@FranceJaume","Jaume Z Reconquête. Patriote. MAGA"
"@pascallepetit1","Pascal Lepetit"
"@AtlantisOff","Atlantis"
"@juin_guy","guy juin /"
"@lacsap74200","lacsap74200"
"@inf_droitetoute","Infirmiere Patriote"
"@ddrdzCH","DDRDZCH AJMB-dédé Rondez Le Retour"
"@Franck_LeGuen","Franck Le Guen #JamaisSansZemmour"
"@julh68","Julien"
"@MarionRose123","Marion Rose M."
"@motardrebelle","MOTARD REBELLE"
"@TorpenBrogarour","Torpenn Brogarour (GAELIC BZH)"
"@palouvic","освета"
"@AgatheH17","Salade Niçoise"
"@A_ga__the___","Agathe"
"@GILOO_ADROITE","GI BUS"
"@Emilezola2024","Jacques Uz"
"@Pessidesouche","Pessi de souche"
"@SaleRat_saldem1","SaleRat sale demain"
"@BenPatriote","𝕏 ßen | Patriote | Tricolore 𝕏"
"@Haim77026isback","Haim770"
"@Rsiline160876","Mélusine"
"@mindedman1985","mindedman  Amo Franciam #MEGA"
"@SeiichiKF","Seiichi"
"@MoniqueLethene2","Monique Lethenet #JamaisSansZemmour"
"@france_pat38466","ORIGINAL CASSES BURNES"
"@VirginiePerez15","France for Trump"
"@LaParisienne008","LaParisienne008"
"@lItalienneInPa1","InParis ! ن"
"@paul_benha93052","Paul Benhamou"
"@laudois","Jean Laudois"
"@anthh_21","𝘢𝘯𝘵𝘩𝘰"
"@SaintTropezUdr","UDR SAINT TROPEZ 83 Var"
"@ADFELIX18","Adrien Felix  RECONQUÊTE"
"@Kevin_RN77","Kevin_G"
"@Breizhviva","Breizh Patriote"
"@JBemfair","Jean Bemfair"
"@taquinepasmamie","𝓣𝓪𝓺𝓾𝓲𝓷𝓮𝓹𝓪𝓼𝓶𝓮́𝓶𝓮́ ✿◕‿◕"
"@ACTUFSI","L’actualité des Forces de Sécurité Intérieure"
"@Mauve_Rebel","REBEL WOLF"
"@FiersPatriotes","PatriotesFier"
"@HubermanThierry","thierry huberman"
"@quick_frexit","ANTIWOKE"
"@fleurlarebelle","Fleur Arnaud"
"@TheFlux376308","The Flux"
"@color_blind_man","colors-blind-man"
"@bazouka_80","bobby"
"@ChatNatio","Chat Natio"
"@kirazael","Kirazael le Défenseur 𝕏"
"@JPD3S","Pasca12"
"@ChicFrenchy","Frenchy"
"@SEbNIBAUDEAU","Sébastien NIBAUDEAU"
"@ropieled","deldel ⓩ"
"@AlicesBack","Alice Devone"
"@ordjoun","Ordjoun - अर्जुन -"
"@patderq","Patderq"
"@prairial26","espoirdumatin"
"@Lord_Blackwood1","Lord_Alex_Blackwood"
"@ChantalGor58885","Chantal Go alias Stafy Locoq Abonnée"
"@09Copain","09Copain"
"@RubagottiAdrien","Rubagotti  Adrien"
"@RemiIslay","PierreDenis"
"@FlFranleb","François Plutôt périr que subir"
"@fabiennehol_NS","fabholv#merciNS"
"@TetaultJean","Sigiriya"
"@MarcHaas57","Haas Marc"
"@FranckMont94683","Franck Montana"
"@GallSylv13","StopAssistanat-StopSubventions-AssumeTonMigrant"
"@gontrandkosmala","Gontrand.losmala"
"@jean134567","pedro✞ن"
"@poutaine","vladimir poutaine"
"@Zoltan_47","Le Crapaud"
"@encolere2023","Jean Colère"
"@aureprod","Auréprod"
"@onestdanslam","Ste Bourse"
